ID,Created,Name,Description,Playlist URL
b25a74d4f26c4cd59245c1410369859f,2025-05-18T16:58:24Z,Desert Island Songs,If you could only bring one…,https://open.spotify.com/playlist/3qPhEX7cAYZnavQm72GI2v
989f624d30e9466e8b8e3b31c29aed03,2025-05-18T16:58:25Z,Femme Fatale,Bad girl summer,https://open.spotify.com/playlist/4B1ZOq8ZjXAAXjJXNT9naH
0756ea3c962f4ea9801539864f89e056,2025-05-18T16:58:25Z,Songs that Cause Speeding ,"But officer, I was listening to music league",https://open.spotify.com/playlist/4FQ1CnGGDDPPtUz5DH76iG
ea6a2c6750ff47ed95b7fbf7597a4079,2025-05-18T16:58:25Z,Songs Joseph would love,Some of you know. Some of you think you know. ,https://open.spotify.com/playlist/0zSJWMxPPWyneTfIYjqgpm
43ac61c69de24b1f89f88c1c951206ff,2025-05-18T16:58:25Z,Hardest Song Title,Goes hard. ,https://open.spotify.com/playlist/1sfzFMq08UitSO9Gg9GNmj
4121153547a94bdf972d7e6c9231f149,2025-05-18T16:58:25Z,Sad Boy Summer,For the sensitive white boy in all of us ,https://open.spotify.com/playlist/6xPLkw4sj3liWcZZCz6S4I
63b5baec11e34b9cb8ef465c066d9c0a,2025-05-18T16:58:25Z,Unintentionally about Jesus,✝️,https://open.spotify.com/playlist/0ryiG6RFnkG01kELHs07LR
a75523622c3f41aab48f78e001972052,2025-05-18T16:58:25Z,Falling in Love,Get on those rose colored lenses,https://open.spotify.com/playlist/52txusGXmQ69VQ8P19JvS2
