Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:33P1v5WhDn5ngDHxdEUyk5,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,0,question… why?,ec2257221b6b4065aa47b08f9ce00196
spotify:track:5NwkWwfRJaT55hEPtCmJHx,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,0,"Lowkey, the transition from the Walton to this song SLAPPED",ec2257221b6b4065aa47b08f9ce00196
spotify:track:4ZZiZPQq3RfnTQHHKROl3M,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,-1,"I love you Sam, but no",ec2257221b6b4065aa47b08f9ce00196
spotify:track:4GbazUiaLPKj2VmCVykw53,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,1,,ec2257221b6b4065aa47b08f9ce00196
spotify:track:3d0WouFnFmr0K3kjeza3fF,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,1,Yeah I can see it,ec2257221b6b4065aa47b08f9ce00196
spotify:track:3bN6WsqetTyM8YakzZhJkb,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,1,STEVIE,ec2257221b6b4065aa47b08f9ce00196
spotify:track:0L4A8L8UUSU0lgzxGNKggH,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,0,"I really loved this song, but I don’t know if it’s a Richard song…",ec2257221b6b4065aa47b08f9ce00196
spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,0,"Love this song, but not sure if it’s Rich…",ec2257221b6b4065aa47b08f9ce00196
spotify:track:71rlC1GailCCM6TmeAo3YT,fc418ffeadb64c3f8e93a25fb942984f,2026-02-23T21:23:58Z,1,,ec2257221b6b4065aa47b08f9ce00196
spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,0f4f7275b1234127a43771293d707c5c,2026-02-23T21:41:33Z,-1,,ec2257221b6b4065aa47b08f9ce00196
