ID,Created,Name,Description,Playlist URL
9128dc108d0a4214b92f4b45f17a7db6,2025-09-03T15:26:52Z,1995 Coast-to-Coast Roadtrip in Your Father's 1991 Buick Roadmaster Wagon,Wood panels and gas station coffee in Bill Clinton's America,https://open.spotify.com/playlist/3oZYmtbtOPMRo7wdQsINDk
872c35325f1d4755af2a8275727cca78,2025-09-03T15:27:14Z,Villain Era,💅,https://open.spotify.com/playlist/7wfV5pV9nXckbGXSw7FXgP
1c368dd2aa8248c290a4ed06f9327cc9,2025-09-03T15:27:34Z,Songs Alex Would Love,The king mounts his throne to shouts of boomer rock,https://open.spotify.com/playlist/35JPpkfHdQHkTrpSx0ZF5Z
ebfcb610fbe24b9880cec6887c441f21,2025-09-03T15:27:52Z,"""Hear me out""",Hold your nose and open your mind,https://open.spotify.com/playlist/2DyoaCOcjKqoztr3taNtt2
47d2d61eb45a44eeb0c5434f233e689a,2025-09-03T15:28:08Z,"Gaslit, Gatekept, Girlbossed",Anthems of toxic femininity,https://open.spotify.com/playlist/5j2zU4PwJfhbhmSKofVo24
64d451beff9a4729a7b2eb99be5b99de,2025-09-03T15:28:28Z,Millennialcore,stomp clap slop,https://open.spotify.com/playlist/1OtEfgFJFLWZVQ8Bxc0pdH
79ab1a9f9cab4a93ace85e2004634795,2025-09-03T15:28:46Z,Memento Mori,💀,https://open.spotify.com/playlist/6CJcvccmPHhgHPfW70PYic
