ID,Created,Name,Description,Playlist URL
e174b9f8541442e1ba8f5133d9a97108,2026-04-07T15:44:50Z,Songs Artemis II should have played ,"Houston, we have a playlist ",https://open.spotify.com/playlist/1jiwk1yPlUBPLC5lhBedQk
56d5d38517ae447a9342282bf144d5e9,2026-04-07T15:44:50Z,Songs Shea would love,Great is our inheritance!,https://open.spotify.com/playlist/1qmNsgTNmdLoqY9BQbzwPV
7b317f8281c441338e3eeb9ec37e6c75,2026-04-07T15:44:50Z,Accidentally St. Therese,"Love, roses, and suffering",https://open.spotify.com/playlist/21TqyFISnjsnlJag6eQHYt
594d102ae3e6430d9578c540c78c0f28,2026-04-07T15:44:50Z,Bindlecore,Take up thy bindle,https://open.spotify.com/playlist/31NIuCkQH6BasJI1lGexzN
70089271623e45cd94370194e7d94311,2026-04-07T15:44:51Z,Whalesong,Songs about our fluked friends,https://open.spotify.com/playlist/7EprAWOsbauZuRKMtXK4hc
616e9d29e70b4bf7b68908d1fbf31b34,2026-04-07T15:44:51Z,Accidentally evil,whoops 😈,https://open.spotify.com/playlist/4rUn1oKvUAOKsNFuVW6fOv
be3ff0d69868491f8130eac376092923,2026-04-07T15:44:51Z,Late career bangers,The old dog still has a few tricks,https://open.spotify.com/playlist/3V00QKlHYa8NzEWZGegBqs
7e83086d6c8b47e0af4f0455ecd5b70b,2026-04-07T15:44:51Z,White people doing black people music,"Play that funky music, white boy",https://open.spotify.com/playlist/1Fj9X97f67Q4Mj9Srd0qp0
