Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1VfRNqurZVZ0eG5stJXQWd,80a489147c544db5a53c5cede65c4617,2025-05-02T02:25:25Z,2,,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:2M7UdnD0fEaryh8TnCvqFX,80a489147c544db5a53c5cede65c4617,2025-05-02T02:25:25Z,2,,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:45sziCSqS4BWSQWUlLRpyf,80a489147c544db5a53c5cede65c4617,2025-05-02T02:25:25Z,1,,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:03GqWbDts733KUnWy5fu7A,0f4f7275b1234127a43771293d707c5c,2025-05-02T04:04:45Z,0,Eh,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:0VmrjEPcDKk8zJ68nten7b,0f4f7275b1234127a43771293d707c5c,2025-05-02T04:04:45Z,2,Lowkey didn't wanna like it as much as I did.,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:11IzgLRXV7Cgek3tEgGgjw,0f4f7275b1234127a43771293d707c5c,2025-05-02T04:04:45Z,1,Always fire,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:1VfRNqurZVZ0eG5stJXQWd,0f4f7275b1234127a43771293d707c5c,2025-05-02T04:04:45Z,0,Corey? is that you?,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:3DlWPpVsZ0JdfSjBlHoURU,0f4f7275b1234127a43771293d707c5c,2025-05-02T04:04:45Z,0,this caption smacks of Joseph,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:45sziCSqS4BWSQWUlLRpyf,0f4f7275b1234127a43771293d707c5c,2025-05-02T04:04:45Z,0,Ugh goes off,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:4ZoBC5MhSEzuknIgAkBaoT,0f4f7275b1234127a43771293d707c5c,2025-05-02T04:04:45Z,2,hard to miss with Bill ,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:5XgYWQKEqSqA5vXJmwZa6n,0f4f7275b1234127a43771293d707c5c,2025-05-02T04:04:45Z,0,Alright.,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:45sziCSqS4BWSQWUlLRpyf,e9ff1e5eb77849d4bc7e07958854fba2,2025-05-02T04:10:42Z,1,,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:4ZoBC5MhSEzuknIgAkBaoT,e9ff1e5eb77849d4bc7e07958854fba2,2025-05-02T04:10:42Z,2,,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:5XgYWQKEqSqA5vXJmwZa6n,e9ff1e5eb77849d4bc7e07958854fba2,2025-05-02T04:10:42Z,2,,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:2M7UdnD0fEaryh8TnCvqFX,f53f0969b04049b5ba39a303ebb3e987,2025-05-02T15:35:14Z,2,,63d8b4ef3a69485cb0ebec6efd9de640
spotify:track:45sziCSqS4BWSQWUlLRpyf,f53f0969b04049b5ba39a303ebb3e987,2025-05-02T15:35:14Z,2,,63d8b4ef3a69485cb0ebec6efd9de640
