ID,Created,Name,Description,Playlist URL
01a77e9a8607468c8099259ddb841c0c,2025-07-17T17:09:51Z,"Wait, that’s a dude?",Big votes for high notes,https://open.spotify.com/playlist/1mMJURU4ByYeWe234FJAJy
3b88d0e6bdc44baa836e3aeaa4ee42da,2025-07-17T17:10:42Z,Songs Eddie Would Love,"A ""Songs _ Would Love"" round for the man who hates ""Songs _ Would Love"" rounds",https://open.spotify.com/playlist/2TqQYiqkeV9kgiJdma8bDM
5bfce5874b704a1c9b89d5e22af3752e,2025-07-17T17:12:11Z,Accidentally Flannery O’Connor,A Good Song is Hard to Find.,https://open.spotify.com/playlist/6TTyZfP6wMQryNGIXakNkJ
ca414ae9a0cf4405b1e2f67a50626bb0,2025-07-17T17:28:28Z,Songs to Frantically Clean/Pack/Move to,At the crossing of stress and productivity ,https://open.spotify.com/playlist/5uskrP8sLl4wpQHU05Odbj
98043a76db7d44e3ac9533250a0c755b,2025-07-17T17:12:35Z,Songs Judd Would Love,A background rebel soldier's moment in the limelight,https://open.spotify.com/playlist/2lcAENVkVvKpi7gFgXMCCQ
992e7a9e36334400b7e71d1b62c7e048,2025-07-17T17:19:47Z,Girl Crush Summer 💋,That one girly song you listen to unironically... admit it you have one,https://open.spotify.com/playlist/24A7bampIYdempYrtMQMyU
7cc1a99230b84e9aa912ada026d09d39,2025-07-17T17:13:52Z,Songs for the Breaking of the Fellowship,"As we scatter to the winds, let’s really sink into that angst.",https://open.spotify.com/playlist/6HZDFknN42iuSmOrKPmzdW
