ID,Created,Name,Description,Playlist URL
5c788c49428746259ebdb7ebd22dc527,2025-06-09T17:47:08Z,Alternative Communist Anthems,Do you hear the people sing?,https://open.spotify.com/playlist/1ZOeRBkvW1A6SEGA3kCMGW
fb0ced565d6e44fca323be1947bd9dad,2025-06-09T17:47:34Z,Summer Grilling,Songs for sizzling them dawgs,https://open.spotify.com/playlist/5BXJzwoYb1Sm3Ko29wagrY
f434c5961f704133a96391368dd1b288,2025-06-09T17:47:49Z,Songs Fiona Would Love,Prepare to be judged,https://open.spotify.com/playlist/5alemjDSg7MBQOUPeYyqRC
9133aa53acd24a8b813128abc0b3535d,2025-06-09T17:48:19Z,Superior Covers,Yeah but X did it better…,https://open.spotify.com/playlist/3AWQtxA3lmtJpfQA5n6kFd
b0525c64da464e2aa828ca19d6d7e1aa,2025-06-09T17:48:35Z,Killer Song!,Murder? Revenge? Justice? Taking life set to song,https://open.spotify.com/playlist/1UAFwBFJBmA4aK3gUMdMoj
146e317d84ac411a9f620971444d10bd,2025-06-09T17:48:46Z,Songs Claire Would Love,Just how broad is that taste,https://open.spotify.com/playlist/2CrAmjfF7uqjOsb8IfcKVy
c79f8df858e74771929a2fe477e5b841,2025-06-09T17:49:00Z,De Profundis,Cries of desperation and lamentation,https://open.spotify.com/playlist/1BWI2HfZxIsXnDfjD2teBT
b244e220bb744ece9e4afb706e31e5b7,2025-06-09T17:49:15Z,Songs Sammy Would Love,Is there a man behind the masks?,https://open.spotify.com/playlist/3flKLXKPS5vReOED46JQjE
95e3d5f5a0b747c58258f9f6a10fe816,2025-06-09T17:49:26Z,None Hit Wonder,A few more sparks from that shooting star,https://open.spotify.com/playlist/6PFcsvOE2G8h6MeBZjiFNM
f39d3a804d304ef4b457d53adb601e6f,2025-06-09T17:49:49Z,"Live, Laugh, LIVE",A performance to remember ,https://open.spotify.com/playlist/7AiVKwqcBRj0rnq9gGHNqS
